number,title,sections,description,startDate,endDate,startStardate,endStardate,historiansNote,publicationDate,predecessorId
1x01/02,Emissary,,,2369,,46379.1,,,1993-01-03,
1x03,Past Prologue,,,2369,,,,,1993-01-09,
1x04,A Man Alone,,,2369,,46421.5,,,1993-01-17,
1x05,Babel,,,2369,,46423.7,,,1993-01-24,
1x06,Captive Pursuit,,,2369,,46477.5,,,1993-01-30,
1x07,Q-Less,,,2369,,46531.2,,,1993-02-06,
1x08,Dax,,,2369,,,,mentioned stardate (46910.1) must be wrong,1993-02-13,
1x09,The Passenger,,,2369,,,,,1993-02-20,
1x10,Move Along Home,,,2369,,,,,1993-03-14,
1x11,The Nagus,,,2369,,,,,1993-03-21,
1x12,Vortex,,,2369,,,,,1993-04-18,
1x13,Battle Lines,,,2369,,,,,1993-04-25,
1x14,The Storyteller,,,2369,,46729.1,,,1993-05-02,
1x15,Progress,,,2369,,46844.3,,,1993-05-09,
1x16,If Wishes Were Horses,,,2369,,46853.2,,,1993-05-16,
1x17,The Forsaken,,,2369,,46925.1,,,1993-05-23,
1x18,Dramatis Personae,,,2369,,46922.3,,,1993-05-30,
1x19,Duet,,,2369,,,,,1993-06-13,
1x20,In the Hands of the Prophets,,,2369,,,,,1993-06-20,
