"number","title","sections","description","startDate","endDate","startStardate","endStardate","historiansNote","publicationDate","predecessorId"
"2x01","The Homecoming",,,2370,,,,,"1993-09-26",
"2x02","The Circle",,,2370,,,,,"1993-10-03",
"2x03","The Siege",,,2370,,,,,"1993-10-10",
"2x04","Invasive Procedures",,,2370,,"47182.1",,,"1993-10-17",
"2x05","Cardassians",,,2370,,"47177.2",,,"1993-10-24",
"2x06","Melora",,,2370,,"47229.1",,,"1993-10-31",
"2x07","Rules of Acquisition",,,2370,,,,,"1993-11-06",
"2x08","Necessary Evil",,,2370,,"47282.5","47284.1",,"1993-11-14",
"2x09","Second Sight",,,2370,,"47329.4",,,"1993-11-20",
"2x10","Sanctuary",,,2370,,"47391.2",,,"1993-11-28",
"2x11","Rivals",,,2370,,,,,"1994-01-02",
"2x12","The Alternate",,,2370,,"47391.7",,,"1994-01-09",
"2x13","Armageddon Game",,,2370,,,,,"1994-01-30",
"2x14","Whispers",,,2370,,"47581.2",,,"1994-02-06",
"2x15","Paradise",,,2370,,"47573.1",,,"1994-02-13",
"2x16","Shadowplay",,,2370,,"47603.3",,,"1994-02-20",
"2x17","Playing God",,,2370,,,,,"1994-02-27",
"2x18","Profit and Loss",,,2370,,,,,"1994-03-20",
"2x19","Blood Oath",,,2370,,,,,"1994-03-27",
"2x20","The Maquis, Part I",,,2370,,,,,"1994-04-24",
"2x21","The Maquis, Part II",,,2370,,,,,"1994-05-01",
"2x22","The Wire",,,2370,,,,,"1994-05-08",
"2x23","Crossover",,,2370,,,,,"1994-05-15",
"2x24","The Collaborator",,,2370,,,,,"1994-05-22",
"2x25","Tribunal",,,2370,,"47944.2",,,"1994-06-05",
"2x26","The Jem'Hadar",,,2370,,,,,"1994-06-12",
