number,title,sections,description,startDate,endDate,startStardate,endStardate,historiansNote,publicationDate,predecessorId
1x01,The Vulcan Hello,,,2256-05-11,,,,,2017-09-24,
1x02,Battle at the Binary Stars,,,2256-05,,,,,2017-09-24,
1x03,Context Is for Kings,,,2256-12,,,,,2017-10-01,
1x04,The Butcher's Knife Cares Not for the Lamb's Cry,,,2256-12,,,,,2017-10-08,
1x05,Choose Your Pain,,,2256-12,,,,,2017-10-15,
1x06,Lethe,,,2256-12,,,,,2017-10-22,
1x07,Magic to Make the Sanest Man Go Mad,,,2257-01,,,,,2017-10-29,
1x08,"Si Vis Pacem, Para Bellum",,,2257,,,,,2017-11-05,
1x09,Into the Forest I Go,,,2257,,,,,2017-11-12,
1x10,Despite Yourself,,,2257,,,,,2018-01-07,
1x11,The Wolf Inside,,,2257,,,,,2018-01-14,
1x12,Vaulting Ambition,,,2257,,,,,2018-01-21,
1x13,What's Past Is Prologue,,,2257,,,,,2018-01-28,
1x14,"The War Without, the War Within",,,2257,,,,,2018-02-04,
1x15,Will You Take My Hand?,,,2257,,,,,2018-02-11,
