"number","title","sections","description","startDate","endDate","startStardate","endStardate","historiansNote","publicationDate","predecessorId"
"4x01","The Best of Both Worlds, Part II",,,2367,,"44001.4",,,"1990-09-24",
"4x02","Family",,,2367,,"44012.3",,,"1990-10-01",
"4x03","Brothers",,,2367,,"44085.7",,,"1990-10-08",
"4x04","Suddenly Human",,,2367,,"44143.7",,,"1990-10-15",
"4x05","Remember Me",,,2367,,"44161.2",,,"1990-10-22",
"4x06","Legacy",,,2367,,"44215.2",,,"1990-10-29",
"4x07","Reunion",,,2367,,"44246.3",,,"1990-11-05",
"4x08","Future Imperfect",,,2367,,"44286.5",,,"1990-11-12",
"4x09","Final Mission",,,2367,,"44307.3",,,"1990-11-19",
"4x10","The Loss",,,2367,,"44356.9",,,"1990-12-31",
"4x11","Data's Day",,,2367,,"44390.1",,,"1991-01-07",
"4x12","The Wounded",,,2367,,"44429.6",,,"1991-01-28",
"4x13","Devil's Due",,,2367,,"44474.5",,,"1991-02-04",
"4x14","Clues",,,2367,,"44502.7",,,"1991-02-11",
"4x15","First Contact",,,2367,,,,,"1991-02-18",
"4x16","Galaxy's Child",,,2367,,"44614.6",,,"1991-03-11",
"4x17","Night Terrors",,,2367,,"44631.2",,,"1991-03-18",
"4x18","Identity Crisis",,,2367,,"44664.5",,,"1991-03-25",
"4x19","The Nth Degree",,,2367,,"44704.2",,,"1991-04-01",
"4x20","Qpid",,,2367,,"44741.9",,,"1991-04-22",
"4x21","The Drumhead",,,2367,,"44769.2",,,"1991-04-29",
"4x22","Half a Life",,,2367,,"44805.3",,,"1991-05-06",
"4x23","The Host",,,2367,,"44821.3",,,"1991-05-13",
"4x24","The Mind's Eye",,,2367,,"44885.5",,,"1991-05-27",
"4x25","In Theory",,,2367,,"44932.3",,,"1991-06-03",
"4x26","Redemption",,,2367,,"44995.3",,,"1991-06-17",
