"number","title","sections","description","startDate","endDate","startStardate","endStardate","historiansNote","publicationDate","predecessorId"
"2x01","Catspaw",,,"2267",,"3018.2",,,"1967-10-27",
"2x02","Metamorphosis",,,"2267",,"3219.8","3220.3",,"1967-11-10",
"2x03","Friday's Child",,,"2267",,"3497.2","3499.1",,"1967-12-01",
"2x04","Who Mourns for Adonais?",,,"2267",,"3468.1",,,"1967-09-22",
"2x05","Amok Time",,,"2267",,"3372.7",,,"1967-09-15",
"2x06","The Doomsday Machine",,,"2267",,"4202.9",,,"1967-10-20",
"2x07","Wolf in the Fold",,,"2267",,"3614.9","3615.4",,"1967-12-22",
"2x08","The Changeling",,,"2267",,"3541.9",,,"1967-09-29",
"2x09","The Apple",,,"2267",,"3715.0","3715.6",,"1967-10-13",
"2x10","Mirror, Mirror",,,2267,,,,,"1967-10-06",
"2x11","The Deadly Years",,,"2267",,"3478.2","3479.4",,"1967-12-08",
"2x12","I, Mudd",,,"2267",,"4513.3",,,"1967-11-03",
"2x13","The Trouble with Tribbles",,,"2267",,"4523.3","4525.6",,"1967-12-29",
"2x14","Bread and Circuses",,,"2267",,"4040.7","4041.7",,"1968-03-15",
"2x15","Journey to Babel",,,"2267",,"3842.3","3843.4",,"1967-11-17",
"2x16","A Private Little War",,,"2267",,"4211.4","4211.8",,"1968-02-02",
"2x17","The Gamesters of Triskelion",,,"2268",,"3211.7","3259.2",,"1968-01-05",
"2x18","Obsession",,,"2268",,"3619.2","3620.7",,"1967-12-15",
"2x19","The Immunity Syndrome",,,"2268",,"4307.1","4309.4",,"1968-01-19",
"2x20","A Piece of the Action",,,"2268",,,,,"1968-01-12",
"2x21","By Any Other Name",,,"2268",,"4657.5","4658.9",,"1968-02-23",
"2x22","Return to Tomorrow",,,"2268",,"4768.3","4770.3",,"1968-02-09",
"2x23","Patterns of Force",,,"2268",,,,,"1968-02-16",
"2x24","The Ultimate Computer",,,"2268",,"4729.4","4731.3",,"1968-03-08",
"2x25","The Omega Glory",,,2268,,,,,"1968-03-01",
"2x26","Assignment: Earth",,,2268,,,,,"1968-03-29",
