"number","title","sections","description","startDate","endDate","startStardate","endStardate","historiansNote","publicationDate","predecessorId"
"2x01","The 37's",,,2371,,"48975.1",,,"1995-08-28",
"2x02","Initiations",,,2372,,"49005.3",,,"1995-09-04",
"2x03","Projections",,,2371,,"48892.1",,,"1995-09-11",
"2x04","Elogium",,,2371,,"48921.3",,,"1995-09-18",
"2x05","Non Sequitur",,,2372,,"49011.0",,,"1995-09-25",
"2x06","Twisted",,,2372,,,,,"1995-10-02",
"2x07","Parturition",,,2372,,"49068.5",,,"1995-10-09",
"2x08","Persistence of Vision",,,2372,,,,,"1995-10-30",
"2x09","Tattoo",,,2372,,,,,"1995-11-06",
"2x10","Cold Fire",,,2372,,"49164.8",,,"1995-11-13",
"2x11","Maneuvers",,,2372,,"49208.5",,,"1995-11-20",
"2x12","Resistance",,,2372,,,,,"1995-11-27",
"2x13","Prototype",,,2372,,,,,"1996-01-15",
"2x14","Alliances",,,2372,,"49337.4",,,"1996-01-22",
"2x15","Threshold",,,2372,,"49373.4",,,"1996-01-29",
"2x16","Meld",,,2372,,,,,"1996-02-05",
"2x17","Dreadnought",,,2372,,"49447.0",,,"1996-02-12",
"2x18","Death Wish",,,2372,,"49301.2",,,"1996-02-19",
"2x19","Lifesigns",,,2372,,"49504.3",,,"1996-02-26",
"2x20","Investigations",,,2372,,"49485.2",,,"1996-03-13",
"2x21","Deadlock",,,2372,,"49548.7",,,"1996-03-18",
"2x22","Innocence",,,2372,,"49578.2",,,"1996-04-08",
"2x23","The Thaw",,,2372,,,,,"1996-04-29",
"2x24","Tuvix",,,2372,,"49655.2",,,"1996-05-06",
"2x25","Resolutions",,,2372,,"49690.1",,,"1996-05-13",
"2x26","Basics, Part I",,,2372,,,,,"1996-05-20",
